Category,City,Tourism Type,Precision@k,Preference_Coverage@k,Category_Diversity,Tourism_Type_Diversity
Theme Park,N/A,N/A,0.5,1.0,0.75,0.0
Water Park,N/A,N/A,0.42857142857142855,1.0,0.7142857142857143,0.0
Zoo,N/A,N/A,0.2857142857142857,1.0,0.6428571428571428,0.0
Tower,N/A,N/A,0.42857142857142855,1.0,0.7142857142857143,0.0
Shopping,N/A,N/A,0.5,1.0,0.75,0.0
Garden,N/A,N/A,0.35714285714285715,1.0,0.6785714285714286,0.0
Beach,N/A,N/A,0.5,1.0,0.75,0.0
Natural Reserve,N/A,N/A,0.5,1.0,0.75,0.0
Island,N/A,N/A,0.2857142857142857,1.0,0.6428571428571428,0.0
Mountain,N/A,N/A,0.21428571428571427,1.0,0.6071428571428572,0.0
Aquarium,N/A,N/A,0.21428571428571427,1.0,0.6071428571428572,0.0
Mosque,N/A,N/A,0.5,1.0,0.75,0.0
Church,N/A,N/A,0.5,1.0,0.75,0.0
Monastery,N/A,N/A,0.5,1.0,0.75,0.0
Synagogue,N/A,N/A,0.42857142857142855,1.0,0.7142857142857143,0.0
Museum,N/A,N/A,0.5,1.0,0.75,0.0
Hot Spring,N/A,N/A,0.42857142857142855,1.0,0.7142857142857143,0.0
Healing Oases & Sand Therapy,N/A,N/A,0.5,1.0,0.75,0.0
Rehabilitation & Wellness Center,N/A,N/A,0.2857142857142857,1.0,0.6428571428571428,0.0
Historical Site,N/A,N/A,0.5,1.0,0.75,0.0
Temple,N/A,N/A,0.5,1.0,0.75,0.0
Fortress,N/A,N/A,0.5,1.0,0.75,0.0
Library,N/A,N/A,0.21428571428571427,1.0,0.6071428571428572,0.0
Palace,N/A,N/A,0.5,1.0,0.75,0.0
Tomb,N/A,N/A,0.2857142857142857,1.0,0.6428571428571428,0.0
Theater,N/A,N/A,0.21428571428571427,1.0,0.6071428571428572,0.0
Cultural Center,N/A,N/A,0.21428571428571427,1.0,0.6071428571428572,0.0
N/A,Giza,N/A,0.5,1.0,0.0,0.0
N/A,Cairo,N/A,0.5,1.0,0.0,0.0
N/A,Sharm El Sheikh,N/A,0.5,1.0,0.0,0.0
N/A,Hurghada,N/A,0.5,1.0,0.0,0.0
N/A,North Coast,N/A,0.35714285714285715,1.0,0.0,0.0
N/A,Alexandria,N/A,0.5,1.0,0.0,0.0
N/A,Fayoum,N/A,0.35714285714285715,1.0,0.0,0.0
N/A,Beni Suef,N/A,0.21428571428571427,1.0,0.0,0.0
N/A,Marsa Matrouh,N/A,0.5,1.0,0.0,0.0
N/A,Marsa Alam,N/A,0.35714285714285715,1.0,0.0,0.0
N/A,El Gouna,N/A,0.21428571428571427,1.0,0.0,0.0
N/A,Dahab,N/A,0.35714285714285715,1.0,0.0,0.0
N/A,Sinai,N/A,0.35714285714285715,1.0,0.0,0.0
N/A,Red Sea,N/A,0.35714285714285715,1.0,0.0,0.0
N/A,Suez,N/A,0.35714285714285715,1.0,0.0,0.0
N/A,Assiut,N/A,0.35714285714285715,1.0,0.0,0.0
N/A,New Valley,N/A,0.35714285714285715,1.0,0.0,0.0
N/A,Aswan,N/A,0.35714285714285715,1.0,0.0,0.0
N/A,Luxor,N/A,0.5,1.0,0.0,0.0
N/A,Beheira,N/A,0.21428571428571427,1.0,0.0,0.0
N/A,Sohag,N/A,0.2857142857142857,1.0,0.0,0.0
N/A,Minya,N/A,0.35714285714285715,1.0,0.0,0.0
N/A,Qena,N/A,0.21428571428571427,1.0,0.0,0.0
N/A,Sharqia,N/A,0.21428571428571427,1.0,0.0,0.0
N/A,N/A,Entertainment and Modern Attractions,0.8571428571428571,1.0,0.0,0.9285714285714286
N/A,N/A,Natural Attractions,0.7857142857142857,1.0,0.0,0.8928571428571428
N/A,N/A,Religious and Spiritual Attractions,0.6428571428571429,1.0,0.0,0.8214285714285714
N/A,N/A,Medical Attractions,0.6428571428571429,1.0,0.0,0.8214285714285714
N/A,N/A,Cultural and Historical Attractions,0.8571428571428571,1.0,0.0,0.9285714285714286
