Title,Rating,Price,Link
Hurghada or Makadi: Discover the Magic of Dolphin House,4.9,"From
E£1,715
From
E£1,320
per person",https://www.getyourguide.com/hurghada-l403/hurghada-or-makadi-discover-the-magic-of-dolphin-house-t482952/?ranking_uuid=1bc638a3-6fd9-40cd-b19b-b624281be2b4
Hurghada: Luxury Cruise Trip to Orange Bay with Lunch,4.9,"From
E£2,949
From
E£2,802
per person",https://www.getyourguide.com/hurghada-l403/hurghada-luxury-sailing-trip-to-orange-bay-with-lunch-t387390/?ranking_uuid=1bc638a3-6fd9-40cd-b19b-b624281be2b4
Hurghada: Royal Seascope Submarine Cruise with Snorkel Stop,4.5,"From
E£1,264
From
E£884
per person",https://www.getyourguide.com/hurghada-l403/hurghada-semi-submarine-cruise-with-snorkel-stop-and-pickup-t455967/?ranking_uuid=1bc638a3-6fd9-40cd-b19b-b624281be2b4
Hurghada: 6 Islands Tour with Dolphin Watching & Snorkelling,4.7,"From
E£2,972
From
E£2,675
per person",https://www.getyourguide.com/hurghada-l403/hurghada-6-islands-tour-with-dolphin-watching-snorkelling-t641548/?ranking_uuid=1bc638a3-6fd9-40cd-b19b-b624281be2b4
"Giza: Sakkara, Memphis & Dahshur (Pyramid & Felucca Options)",4.8,"From
E£1,364
From
E£682
per person",https://www.getyourguide.com/cairo-l92/giza-sakkara-memphis-dahshur-pyramid-felucca-options-t429991/?ranking_uuid=1bc638a3-6fd9-40cd-b19b-b624281be2b4
Intro Diving Beginner and Discover Red Sea Underwater,4.7,"From
E£1,843
per person",https://www.getyourguide.com/hurghada-l403/intro-diving-beginner-and-discover-red-sea-underwater-t714691/?ranking_uuid=1bc638a3-6fd9-40cd-b19b-b624281be2b4
Hurghada: Full-Day Boat Trip with 2 Scuba Dives,4.8,"From
E£2,286
per person",https://www.getyourguide.com/hurghada-l403/hurghada-full-day-boat-trip-with-2-scuba-dives-t792868/?ranking_uuid=1bc638a3-6fd9-40cd-b19b-b624281be2b4
Hurghada: Sindbad Submarines Red Sea Underwater Adventure,5,"From
E£3,944
From
E£3,550
per person",https://www.getyourguide.com/hurghada-l403/hurghada-sindbad-submarines-red-sea-underwater-adventure-t926200/?ranking_uuid=1bc638a3-6fd9-40cd-b19b-b624281be2b4
From Sharm: Ras Muhammed & White Island By Boat & intro Dive,4.7,"From
E£2,115
From
E£1,057
per person",https://www.getyourguide.com/sharm-el-sheikh-l408/from-sharm-ras-muhammed-white-island-by-boat-intro-dive-t503557/?ranking_uuid=1bc638a3-6fd9-40cd-b19b-b624281be2b4
Hurghada: 3-Island Tour with Dolphin Watching and Snorkeling,4.7,"From
E£2,572
From
E£2,315
per person",https://www.getyourguide.com/hurghada-l403/hurghada-speedboat-7-in-one-trip-with-snorkeling-lunch-t450353/?ranking_uuid=1bc638a3-6fd9-40cd-b19b-b624281be2b4
Sharm: Ras Mohammed Half Day Tour by Bus & Allah's gate,4.6,"From
E£1,316
From
E£1,250
per person",https://www.getyourguide.com/sharm-el-sheikh-l408/sharm-ras-mohammed-half-day-tour-by-bus-allah-s-gate-t858495/?ranking_uuid=1bc638a3-6fd9-40cd-b19b-b624281be2b4
Cairo: Dinner Cruise on the Nile River,4.2,"From
E£682
From
E£341
per person",https://www.getyourguide.com/cairo-l92/cairo-dinner-cruise-on-the-nile-river-t11785/?ranking_uuid=1bc638a3-6fd9-40cd-b19b-b624281be2b4
Hurghada: Paradise Speedboat w/ Optional Snorkeling & Lunch,4.8,"From
E£1,053
per person",https://www.getyourguide.com/hurghada-l403/hurghada-paradise-island-by-speedboat-w-snorkeling-lunch-t741085/?ranking_uuid=1bc638a3-6fd9-40cd-b19b-b624281be2b4
Marsa Alam: Royal Seascope Submarine Cruise with Pickup,4.3,"From
E£2,633
From
E£2,422
per person",https://www.getyourguide.com/marsa-alam-l422/royal-seascope-submarine-marsa-alam-port-ghalib-t457975/?ranking_uuid=1bc638a3-6fd9-40cd-b19b-b624281be2b4
Cairo: Salah El Din Citadel and Old Cairo Bazar Guided Tour,4.9,"From
E£1,637
From
E£1,064
per person",https://www.getyourguide.com/cairo-l92/cairo-salah-el-din-citadel-and-old-cairo-bazaar-guided-tour-t430009/?ranking_uuid=1bc638a3-6fd9-40cd-b19b-b624281be2b4
Hurghada: Luxury Snorkeling 5 x 1 Yacht Trip to Orange Bay,4.9,"From
E£3,423
From
E£2,567
per person",https://www.getyourguide.com/hurghada-l403/hurghada-luxury-snorkeling-5-x-1-yacht-trip-to-orange-bay-t339351/?ranking_uuid=1bc638a3-6fd9-40cd-b19b-b624281be2b4
Cairo: 1 or 2-Hour Felucca Ride on the Nile with Transfers,3.7,"From
E£1,023
From
E£767
per person",https://www.getyourguide.com/cairo-l92/cairo-2-hour-felucca-ride-on-the-nile-t47746/?ranking_uuid=cdfbd452-8e29-412f-96ff-7ec3cb587a8c
Hurghada: Full-Day Scuba Diving Tour with 2 Sites and Lunch,4.7,"From
E£3,430
per person",https://www.getyourguide.com/hurghada-l403/hurghada-discovery-scuba-diving-t258312/?ranking_uuid=cdfbd452-8e29-412f-96ff-7ec3cb587a8c
"Hurghada: 1, 2, 3, 4, or, 5-Day Scuba Diving Package",4.2,"From
E£2,858
per person",https://www.getyourguide.com/hurghada-l403/hurghada-intro-1-2-3-4-or-5-day-diving-package-5-star-t330276/?ranking_uuid=cdfbd452-8e29-412f-96ff-7ec3cb587a8c
