Title,Rating,Price,Link
Hurghada or Makadi: Discover the Magic of Dolphin House,4.9,"From
E£1,715
From
E£1,320
per person",https://www.getyourguide.com/hurghada-l403/hurghada-or-makadi-discover-the-magic-of-dolphin-house-t482952/?ranking_uuid=75cb3a3d-9156-4f8a-ad90-f8735b106db3
Hurghada: Dolphin World Show with Walruses and Pickup,4.3,"From
E£1,143
per person",https://www.getyourguide.com/hurghada-l403/hurghada-dolphin-world-1-hour-show-with-hotel-pickup-t464043/?ranking_uuid=75cb3a3d-9156-4f8a-ad90-f8735b106db3
"Giza: Sakkara, Memphis & Dahshur (Pyramid & Felucca Options)",4.8,"From
E£1,364
From
E£682
per person",https://www.getyourguide.com/cairo-l92/giza-sakkara-memphis-dahshur-pyramid-felucca-options-t429991/?ranking_uuid=75cb3a3d-9156-4f8a-ad90-f8735b106db3
Hurghada: Speedboat Dolphin Watching & Snorkeling with Lunch,4.6,"From
E£2,001
From
E£1,901
per person",https://www.getyourguide.com/giftun-island-l4513/hurghada-private-speedboat-dolphin-watching-and-snorkeling-t290630/?ranking_uuid=75cb3a3d-9156-4f8a-ad90-f8735b106db3
Hurghada: Dolphin Watching & Snorkeling Adventure with Lunch,4.6,"From
E£1,315
From
E£986
per person",https://www.getyourguide.com/hurghada-l403/hurghada-dolphin-watching-snorkeling-adventure-with-lunch-t830640/?ranking_uuid=75cb3a3d-9156-4f8a-ad90-f8735b106db3
"Hurghada: Dolphin House Discovery Cruise, Snorkeling & Lunch",4.3,"From
E£1,023
From
E£511
per person",https://www.getyourguide.com/hurghada-l403/hurghada-dolphin-house-discovery-cruise-snorkeling-lunch-t204943/?ranking_uuid=75cb3a3d-9156-4f8a-ad90-f8735b106db3
"Giza: Pyramid, Memphis, Sakkara W/Opt Dahshur & Felucca Tour",4.7,"From
E£1,023
From
E£511
per person",https://www.getyourguide.com/cairo-l92/giza-pyramid-memphis-sakkara-wopt-dahshur-felucca-tour-t540882/?ranking_uuid=75cb3a3d-9156-4f8a-ad90-f8735b106db3
Cairo: Dinner Cruise on the Nile River,4.2,"From
E£682
From
E£341
per person",https://www.getyourguide.com/cairo-l92/cairo-dinner-cruise-on-the-nile-river-t11785/?ranking_uuid=75cb3a3d-9156-4f8a-ad90-f8735b106db3
Hurghada: Orange Bay & Snorkeling Adventure Experience,4.8,"From
E£743
From
E£557
per person",https://www.getyourguide.com/hurghada-l403/hurghada-orange-bay-snorkeling-adventure-experience-t792870/?ranking_uuid=75cb3a3d-9156-4f8a-ad90-f8735b106db3
Cairo: Salah El Din Citadel and Old Cairo Bazar Guided Tour,4.9,"From
E£1,637
From
E£1,064
per person",https://www.getyourguide.com/cairo-l92/cairo-salah-el-din-citadel-and-old-cairo-bazaar-guided-tour-t430009/?ranking_uuid=75cb3a3d-9156-4f8a-ad90-f8735b106db3
Cairo: 1 or 2-Hour Felucca Ride on the Nile with Transfers,3.7,"From
E£1,023
From
E£767
per person",https://www.getyourguide.com/cairo-l92/cairo-2-hour-felucca-ride-on-the-nile-t47746/?ranking_uuid=75cb3a3d-9156-4f8a-ad90-f8735b106db3
Cairo/Giza: Egyptian Museum and Khan el-Khalili Guided Tour,4.7,"From
E£1,500
From
E£975
per person",https://www.getyourguide.com/cairo-l92/cairo-egyptian-museum-and-old-cairo-bazaar-guided-tour-t430007/?ranking_uuid=75cb3a3d-9156-4f8a-ad90-f8735b106db3
"Private Dolphin Trip, with Red Sea Fun The Best in Hurghada",4.8,"From
E£2,286
per person",https://www.getyourguide.com/hurghada-l403/private-dolphin-trip-with-red-sea-fun-the-best-in-hurghada-t442607/?ranking_uuid=75cb3a3d-9156-4f8a-ad90-f8735b106db3
"Cairo/Giza: Guided Pyramids, Sphinx and Egyptian Museum Tour",4.7,"From
E£1,364
From
E£682
per person",https://www.getyourguide.com/cairo-l92/cairo-guided-pyramids-and-egyptian-museum-tour-with-tickets-t429987/?ranking_uuid=75cb3a3d-9156-4f8a-ad90-f8735b106db3
"Hurghada: Dolphin Watching Cruise, Snorkeling & Lunch",4.6,"From
E£1,257
From
E£880
per person",https://www.getyourguide.com/hurghada-l403/hurghada-dolphin-watching-cruise-snorkeling-lunch-t485051/?ranking_uuid=75cb3a3d-9156-4f8a-ad90-f8735b106db3
"Cairo/Giza: Pyramids, Memphis, and Sakkara Day Tour",4.6,"From
E£3,410
From
E£1,705
per person",https://www.getyourguide.com/cairo-l92/cairogiza-pyramids-memphis-and-sakkara-day-tour-t11726/?ranking_uuid=75cb3a3d-9156-4f8a-ad90-f8735b106db3
From Hurghada: Scuba Diving with Expert Guide & 2 Dives,4.3,"From
E£4,634
per person",https://www.getyourguide.com/hurghada-l403/from-hurghada-scuba-diving-with-expert-guide-2-dives-t447949/?ranking_uuid=592d9002-c1f1-4a98-aa6e-8c80586c66d7
Cairo: Ain Sokhna Snorkeling cruise & optional transfer,5,"From
E£2,896
From
E£2,752
per person",https://www.getyourguide.com/cairo-l92/cairo-ain-sokhna-snorkeling-cruise-optional-transfer-t656915/?ranking_uuid=592d9002-c1f1-4a98-aa6e-8c80586c66d7
Makadi Bay: Jeep Safari Adventure with Bedouin guide,4,"From
E£1,364
From
E£1,023
per person",https://www.getyourguide.com/makadi-bay-l4675/from-makadi-bay-desert-jeep-safari-t46372/?ranking_uuid=592d9002-c1f1-4a98-aa6e-8c80586c66d7
Cairo: Sunset Felucca Ride and Food Tour With Private Guide,4.1,"From
E£4,092
From
E£3,069
per person",https://www.getyourguide.com/cairo-l92/cairo-sunset-felucca-ride-and-food-tour-with-private-guide-t601791/?ranking_uuid=592d9002-c1f1-4a98-aa6e-8c80586c66d7
