Name,Category,Google Maps Link,City,Rate,Description
Al-Azhar Mosque,Mosque,https://maps.app.goo.gl/prEecZuqnb2gGqzu5,Cairo,4.8,"Al-Azhar Mosque, Cairo, Egypt.A timeless masterpiece of Islamic architecture, Al-Azhar Mosque is one of the most significant religious and cultural landmarks in Egypt. Founded in 970 AD during the Fatimid dynasty, it stands as one of the world’s oldest universities and a prestigious center for Islamic learning. The mosque's stunning blend of architectural styles, from intricate marble courtyards to towering minarets, reflects Egypt’s rich Islamic heritage. Inside, the mosque’s peaceful prayer halls and ornate calligraphy-adorned walls create a truly spiritual atmosphere. Beyond its beauty, Al-Azhar remains a symbol of wisdom and enlightenment, attracting scholars, worshippers, and visitors from around the world. A visit to this historic gem offers a journey through centuries of faith, knowledge, and architectural brilliance. "
Sultan Hassan Mosque,Mosque,https://maps.app.goo.gl/4UyEMzpmxh4JLEsy8,Cairo,4.7,"Sultan Hassan Mosque, Cairo, Egypt.A majestic symbol of Mamluk architecture, the Sultan Hassan Mosque stands as one of the most grand and awe-inspiring Islamic monuments in Cairo. Built between 1356 and 1363 AD by Sultan Hassan, this mosque-madrasa is renowned for its colossal scale, intricate detailing, and perfect symmetry. As you step inside, you’re greeted by an enormous courtyard surrounded by four elegant iwans (vaulted halls), each dedicated to a different school of Islamic thought. The massive dome, towering minarets, and breathtaking mihrab showcase the mastery of Mamluk craftsmanship. The mosque also houses Sultan Hassan’s mausoleum, adding to its historical significance. Whether you're drawn by its architectural beauty, rich history, or spiritual essence, the Sultan Hassan Mosque is a true masterpiece that embodies the grandeur of medieval Islamic Cairo. "
Al-Rifa'i Mosque,Mosque,https://maps.app.goo.gl/ByFLxJv14G48AZYB6,Cairo,4.8,"Al-Rifa'i Mosque, Cairo, Egypt.Standing opposite the Sultan Hassan Mosque, the Al-Rifa'i Mosque is a breathtaking blend of Ottoman, Mamluk, and European influences, making it one of Cairo’s most majestic religious landmarks. Built between 1869 and 1912, the mosque was commissioned by Khoshiar Hanem, the mother of Khedive Isma'il, to serve as both a place of worship and a royal mausoleum. Inside, the mosque houses the tombs of Egyptian royalty, including King Farouk and Khedive Isma'il, as well as Reza Shah of Iran. The grand entrance, high domes, towering minarets, and intricate marble designs create an aura of elegance and grandeur. The vast prayer hall, adorned with stunning chandeliers and exquisite calligraphy, adds to its serene beauty. Whether you're a history lover, architecture enthusiast, or spiritual seeker, Al-Rifa'i Mosque is a must-visit destination that reflects Egypt’s royal legacy and artistic excellence."
Ibn Tulun Mosque,Mosque,https://maps.app.goo.gl/sKCbpM3o8U8CVZ1n8,Cairo,4.7,"Ibn Tulun Mosque, Cairo, Egypt.One of Cairo’s oldest and largest mosques, the Ibn Tulun Mosque is a masterpiece of Islamic architecture, built between 876 and 879 AD by Ahmed Ibn Tulun, the founder of the Tulunid dynasty. Designed to resemble the Kaaba in Mecca, the mosque is famous for its vast open courtyard, stunning geometric decorations, and the unique spiral minaret, which was inspired by the Great Mosque of Samarra in Iraq. The minaret’s external staircase offers breathtaking panoramic views of Cairo, making it a must-visit for photographers and history lovers. Unlike many other mosques, Ibn Tulun has remained almost completely intact for over 1,100 years, preserving its original brick and stucco detailing. The peaceful ambiance and expansive layout make it a perfect spot to reflect and admire Egypt’s rich Islamic heritage."
Amr Ibn Al-As Mosque,Mosque,https://maps.app.goo.gl/mUgcPMic8h7fiZfh9,Cairo,4.7,"Amr Ibn Al-As Mosque, Cairo, Egypt.The Amr Ibn Al-As Mosque is Egypt’s first and oldest mosque, built in 642 AD by Amr Ibn Al-As, the commander who led the Islamic conquest of Egypt. Located in Old Cairo, this historic mosque was the foundation of Fustat, Egypt’s first Islamic capital. Over the centuries, it has undergone multiple renovations, blending different architectural styles while preserving its spiritual essence. The mosque features vast marble columns, a spacious prayer hall, and an open courtyard that creates a serene atmosphere. Despite its simplicity, its historical and religious significance makes it a must-visit destination for anyone interested in Egypt’s Islamic heritage."
Al-Hakim Mosque,Mosque,https://maps.app.goo.gl/PmALarVKRgZTbnft5,Cairo,4.7,"Al-Hakim Mosque, Cairo, Egypt.The Al-Hakim Mosque is one of Cairo’s most remarkable Islamic landmarks, built between 990 and 1013 AD during the Fatimid era. Named after Caliph Al-Hakim bi-Amr Allah, this mosque stands out with its massive stone walls, towering minarets, and vast courtyard, creating a sense of grandeur and tranquility. Over the centuries, it has served multiple purposes, from a place of worship to a military fortress and even a school. Today, it remains a spiritual and architectural masterpiece, attracting visitors with its majestic arches, intricate Kufic inscriptions, and rich historical significance. A visit to this mosque offers a journey through Fatimid history and Cairo’s enduring Islamic heritage."
Sayyida Zainab Mosque,Mosque,https://maps.app.goo.gl/DCFFMoErYm58p9iv5,Cairo,4.7,"Sayyida Zainab Mosque, Cairo, Egypt.The Sayyida Zainab Mosque is one of Cairo’s most revered religious sites, dedicated to Sayyida Zainab, the granddaughter of Prophet Muhammad (PBUH). Nestled in the heart of Cairo’s Sayyida Zainab district, this mosque is a spiritual beacon for locals and visitors alike. The mosque’s stunning Ottoman-style architecture, intricate calligraphy, and beautifully adorned interior create a peaceful and sacred atmosphere. It serves as a significant pilgrimage site, where worshippers gather to seek blessings and reflect in its tranquil halls. The surrounding area is always vibrant, filled with traditional markets and local cafes, offering a true taste of Cairo’s culture. A visit here is an unforgettable experience, blending faith, history, and Egyptian hospitality. "
Sayyida Nafisa Mosque,Mosque,https://maps.app.goo.gl/2JSRfMNahZx95mjp7,Cairo,4.7,"Sayyida Nafisa Mosque, Cairo, Egypt.The Sayyida Nafisa Mosque is a deeply revered Islamic landmark in Cairo, dedicated to Sayyida Nafisa, a descendant of Prophet Muhammad (PBUH) and a highly respected scholar and saint. Located in the historic district of Sayyida Nafisa, this mosque is a spiritual sanctuary for many, attracting worshippers and visitors seeking blessings and peace. The mosque’s elegant architecture, serene ambiance, and intricate Islamic designs make it a place of both beauty and devotion. As a key site for Islamic heritage and Sufi traditions, it holds a special place in the hearts of Egyptians, who often visit to pay respects and experience its tranquil atmosphere. A visit here offers a glimpse into Egypt’s rich spiritual history and the profound legacy of Sayyida Nafisa."
Mosque of Abu al-Abbas al-Mursi,Mosque,https://maps.app.goo.gl/nznVfHoLTM7iiMw2A,Alexandria,4.6,"Mosque of Abu al-Abbas al-Mursi, Alexandria, Egypt.The Mosque of Abu al-Abbas al-Mursi is Alexandria’s most famous and architecturally stunning mosque, dedicated to the revered Sufi saint Abu al-Abbas al-Mursi, who lived in the 13th century. Located in the Anfoushi district, near the Alexandria harbor, this mosque is a masterpiece of Islamic and Mamluk architecture, featuring intricate arabesque designs, towering minarets, and a grand central dome. Its interior is adorned with beautiful calligraphy, marble columns, and detailed geometric patterns, creating a serene and spiritual ambiance. The mosque is not only a place of worship but also a symbol of Alexandria’s deep-rooted Islamic heritage. Whether you're a history enthusiast or seeking a moment of tranquility, visiting this mosque offers a glimpse into Egypt’s rich spiritual and architectural legacy. "
Al-Mahmoudiyah Mosque,Mosque,https://maps.app.goo.gl/SXeCj5efdMTdzvRa8,Cairo,4.7,"Al-Mahmoudiyah Mosque, Cairo, Egypt.The Al-Mahmoudiyah Mosque is a hidden gem in the heart of Cairo, reflecting the grandeur of Ottoman architecture. Built during the reign of Muhammad Ali Pasha, this mosque stands as a testament to Egypt’s rich Islamic heritage. Its majestic domes, towering minaret, and intricate interior decorations make it a sight to behold. The mosque’s peaceful courtyard and detailed calligraphy create an atmosphere of serenity, inviting both worshippers and visitors to admire its architectural beauty. Whether you're exploring Cairo’s historic mosques or seeking a quiet spiritual retreat, Al-Mahmoudiyah Mosque is a must-visit destination. "
