Title,Rating,Price,Link
Luxor: Hot Air Balloon Ride over Luxor Relics,4.9,"From
E£4,681
From
E£3,277
per person",https://www.getyourguide.com/luxor-l109/luxor-sunrise-hot-air-balloon-ride-with-transfer-t460620/?ranking_uuid=1bfbc069-d188-4e77-a0fd-fe7c4a650e01
Hurghada: Luxor Hot Air Balloon Ride and Day Tour With Meals,4.4,"From
E£7,900
per person",https://www.getyourguide.com/hurghada-l403/from-hurghada-private-day-tour-of-luxor-with-guide-lunch-t477847/?ranking_uuid=1bfbc069-d188-4e77-a0fd-fe7c4a650e01
Luxor: Morning Hot Air Balloon Ride,4.4,"From
E£2,896
per person",https://www.getyourguide.com/luxor-l109/luxor-hot-air-balloon-ride-second-flight-after-sunrise-t453139/?ranking_uuid=1bfbc069-d188-4e77-a0fd-fe7c4a650e01
Luxor: Hot Air Balloon Ride with Full-Day Sights Tour,5,"From
E£8,427
From
E£4,634
per person",https://www.getyourguide.com/luxor-l109/luxor-one-package-luxor-hot-air-balloon-with-full-day-tour-t477361/?ranking_uuid=1bfbc069-d188-4e77-a0fd-fe7c4a650e01
"Hurghada: 2-Day Luxor Tour with Hotel, Balloon, & Boat Ride",4.5,"From
E£13,167
per person",https://www.getyourguide.com/luxor-l109/hurghada-luxor-hot-air-balloon-ride-and-day-tour-with-meals-t412341/?ranking_uuid=1bfbc069-d188-4e77-a0fd-fe7c4a650e01
Hurghada: Luxor Highlights Private Tour & Balloon Ride,4.7,"From
E£8,953
per person",https://www.getyourguide.com/hurghada-l403/hurghada-luxor-highlights-private-tour-balloon-ride-t920113/?ranking_uuid=1bfbc069-d188-4e77-a0fd-fe7c4a650e01
Luxor: West Bank Hot Air Balloon Ride with Hotel Pickup,4.9,"From
E£3,144
per person",https://www.getyourguide.com/luxor-l109/discover-luxor-egypt-from-a-bird-s-eye-view-t458591/?ranking_uuid=1bfbc069-d188-4e77-a0fd-fe7c4a650e01
"Egypt: Private 5-Day Tour, Nile Cruise, Flights, Balloon",3.9,"From
E£31,601
per person",https://www.getyourguide.com/cairo-l92/egypt-private-5-day-tour-nile-cruise-flights-balloon-t484433/?ranking_uuid=1bfbc069-d188-4e77-a0fd-fe7c4a650e01
From Cairo: Luxor & Hot Air Balloon Private Trip by Plane,4.1,"From
E£25,280
per person",https://www.getyourguide.com/cairo-l92/from-cairo-luxor-hot-air-balloon-private-trip-by-plane-t418318/?ranking_uuid=1bfbc069-d188-4e77-a0fd-fe7c4a650e01
Luxor: Hot Air Balloon Ride over the Valley of the Kings,4.8,"From
E£3,739
per person",https://www.getyourguide.com/luxor-l109/luxor-hot-air-balloon-ride-over-the-valley-of-the-kings-t322538/?ranking_uuid=1bfbc069-d188-4e77-a0fd-fe7c4a650e01
From Cairo: 3-Day Nile Cruise with Hot Air Balloon & Flights,4.3,"From
E£41,382
per person",https://www.getyourguide.com/cairo-l92/cairo-3-days-nile-cruise-with-hot-air-balloon-by-flights-t444350/?ranking_uuid=1bfbc069-d188-4e77-a0fd-fe7c4a650e01
Luxor: Amazing Sunrise Hot Air Balloon Ride,4.7,"From
E£4,213
per person",https://www.getyourguide.com/luxor-l109/hot-air-balloon-t570712/?ranking_uuid=1bfbc069-d188-4e77-a0fd-fe7c4a650e01
Luxor: 2-Day West and East Bank with Lunch and Felucca Ride,4.4,"From
E£3,686
per person",https://www.getyourguide.com/temple-of-karnak-l86995/luxor-2-day-highlights-tour-t275787/?ranking_uuid=1bfbc069-d188-4e77-a0fd-fe7c4a650e01
Hurghada: 2-Day Tour to Luxor with Balloon Ride and Hotel,4,"From
E£8,953
per person",https://www.getyourguide.com/hurghada-l403/hurghada-2-day-tour-to-luxor-with-balloon-ride-and-hotel-t490918/?ranking_uuid=1bfbc069-d188-4e77-a0fd-fe7c4a650e01
Luxor: Hot Air Balloon Ride Over Temple of Hatshepsut,4.8,"From
E£3,739
per person",https://www.getyourguide.com/luxor-l109/luxor-sunrise-hot-air-balloon-ride-t265512/?ranking_uuid=1bfbc069-d188-4e77-a0fd-fe7c4a650e01
Luxor: Deluxe Sunrise Hot Air Balloon,4.6,"From
E£5,431
per person",https://www.getyourguide.com/luxor-l109/luxor-deluxe-sunrise-hot-air-balloon-t251197/?ranking_uuid=1bfbc069-d188-4e77-a0fd-fe7c4a650e01
Luxor: West and East Banks Private Tour and Hot Air Balloon,4.5,"From
E£5,266
per person",https://www.getyourguide.com/luxor-l109/luxor-west-and-east-banks-with-sunrise-hot-air-balloon-ride-t429747/?ranking_uuid=0f498475-0963-4cad-aeac-878002a081b7
"From Cairo: 3-Nights Nile Cruise Luxor, Aswan by Flights",4.3,"From
E£39,501
per person",https://www.getyourguide.com/cairo-l92/4-days-nile-cruise-from-aswan-start-from-cairo-by-flights-t541323/?ranking_uuid=0f498475-0963-4cad-aeac-878002a081b7
"From Cairo: 5-Day Tour with Nile Cruise, Balloon, & Flights",4.8,"From
E£54,312
per person",https://www.getyourguide.com/cairo-l92/from-cairo-5-day-tour-packagenile-cruiseballoon-flights-t484992/?ranking_uuid=0f498475-0963-4cad-aeac-878002a081b7
From Aswan: 4-Days 3-Night Nile Cruise with Hot Air Balloon,4.8,"From
E£23,700
per person",https://www.getyourguide.com/aswan-l543/from-aswan-4-days-3-night-nile-cruise-with-hot-air-balloon-t551534/?ranking_uuid=0f498475-0963-4cad-aeac-878002a081b7
"2 days 1 night Luxor,Aswan & Abu simbel by flight from Cairo",4.4,"From
E£34,234
per person",https://www.getyourguide.com/cairo-l92/2days1-night-luxor-aswan-abu-simbel-by-flight-from-cairo-t599587/?ranking_uuid=0f498475-0963-4cad-aeac-878002a081b7
From Luxor: 3-Night Nile Cruise to Aswan and Hot Air Balloon,4,"From
E£26,334
per person",https://www.getyourguide.com/luxor-l109/from-luxor-3-night-nile-cruise-to-aswan-and-hot-air-balloon-t422284/?ranking_uuid=0f498475-0963-4cad-aeac-878002a081b7
From Luxor: 3-Day Nile Cruise to Aswan with Balloon Ride,3.6,"From
E£21,067
per person",https://www.getyourguide.com/luxor-l109/from-luxor-3-day-nile-cruise-to-aswan-with-balloon-ride-t512354/?ranking_uuid=0f498475-0963-4cad-aeac-878002a081b7
Luxor Hot Air Balloon over ancient relics,4.6,"From
E£3,160
per person",https://www.getyourguide.com/luxor-l109/luxor-hot-air-balloon-t494156/?ranking_uuid=0f498475-0963-4cad-aeac-878002a081b7
Marsa Alam : Over Day Tour to Luxor & Balloon Ride & Felucca,4.7,"From
E£14,220
per person",https://www.getyourguide.com/luxor-l109/marsa-alam-luxor-tour-with-hot-air-balloon-ride-and-meals-t475801/?ranking_uuid=0f498475-0963-4cad-aeac-878002a081b7
Visit Luxor East & west bank and Hot Air balloon included,5,"From
E£5,266
per person",https://www.getyourguide.com/luxor-l109/visit-luxor-east-west-bank-and-hot-air-balloon-included-t493457/?ranking_uuid=0f498475-0963-4cad-aeac-878002a081b7
Luxor: Hot Air Balloon & Private tour to West bank and Lunch,4.9,"From
E£4,213
per person",https://www.getyourguide.com/luxor-l109/luxor-medinet-habu-valley-of-nobles-and-deir-private-tour-t410516/?ranking_uuid=0f498475-0963-4cad-aeac-878002a081b7
Hurghada to Cairo: Full-Day Tour one way Bus & Flight Return,3.5,"From
E£9,261
per person",https://www.getyourguide.com/cairo-l92/hurghada-to-cairo-full-day-tour-one-way-bus-flight-return-t829925/?ranking_uuid=0f498475-0963-4cad-aeac-878002a081b7
From Aswan: 5-Day Nile Cruise to Luxor with Hot Air Balloon,4.4,"From
E£31,601
per person",https://www.getyourguide.com/aswan-l543/from-aswan-4-night-nile-cruise-to-luxor-with-balloon-ride-t455205/?ranking_uuid=0f498475-0963-4cad-aeac-878002a081b7
Aswan: Luxor Day Trip with Sunrise Hot Air Balloon & Felucca,4.6,"From
E£10,533
per person",https://www.getyourguide.com/aswan-l543/aswan-luxor-day-trip-with-sunrise-hot-air-balloon-felucca-t431770/?ranking_uuid=0f498475-0963-4cad-aeac-878002a081b7
From Luxor: 4-Day Nile Cruise to Aswan with Balloon Ride,4.3,"From
E£26,334
per person",https://www.getyourguide.com/luxor-l109/from-luxor-4-day-nile-cruise-to-aswan-with-balloon-ride-t513745/?ranking_uuid=0f498475-0963-4cad-aeac-878002a081b7
"From Cairo: 11-Day Tour, Nile Cruise, Flights, Balloon",4.2,"From
E£57,935
per person",https://www.getyourguide.com/cairo-l92/from-cairo-11-day-tour-nile-cruise-flights-balloon-t484441/?ranking_uuid=0f498475-0963-4cad-aeac-878002a081b7
Luxor: All Inclusive Private Balloon Ride In Small Balloon,4.8,"From
E£15,273
per person",https://www.getyourguide.com/luxor-l109/valley-of-kings-private-sunrise-hot-air-balloon-ride-t330111/?ranking_uuid=747cea7c-b4fb-40ef-a0fe-680fcfddc40f
"Hot air balloon, Kings Valley Tombs, Hatshpsuit, Feluca Boat",4.7,"From
E£7,110
per person",https://www.getyourguide.com/luxor-l109/hot-air-balloon-kings-valley-tombs-hatshpsuit-feluca-boat-t449833/?ranking_uuid=747cea7c-b4fb-40ef-a0fe-680fcfddc40f
Luxor: West bank tour with Hot air Balloon over luxor,5,"From
E£6,320
per person",https://www.getyourguide.com/luxor-l109/luxor-west-bank-tour-with-hot-air-balloon-over-luxor-t592213/?ranking_uuid=747cea7c-b4fb-40ef-a0fe-680fcfddc40f
From Hurghada: Nile Cruise with Aswan and Hot Air Balloon,4.8,"From
E£33,857
per person",https://www.getyourguide.com/luxor-l109/from-hurghada-2-night-nile-cruise-to-aswan-hot-air-balloon-t447889/?ranking_uuid=747cea7c-b4fb-40ef-a0fe-680fcfddc40f
