Title,Rating,Price,Link
Hurghada: Royal Seascope Submarine Cruise with Snorkel Stop,4.5,"From
E£1,264
From
E£884
per person",https://www.getyourguide.com/hurghada-l403/hurghada-semi-submarine-cruise-with-snorkel-stop-and-pickup-t455967/?ranking_uuid=3da7838c-97dd-4304-8d78-02446f06812e
Sharm El-Sheikh: Seascope Submarine boat cruise with pickup,4.5,"From
E£2,370
From
E£1,919
per person",https://www.getyourguide.com/sharm-el-sheikh-l408/sharm-el-sheikh-glass-bottom-boat-cruise-with-pickup-t531359/?ranking_uuid=3da7838c-97dd-4304-8d78-02446f06812e
Hurghada: Semi-Submarine Boat Tour w/ Snorkeling & Transfer,4.2,"From
E£421
From
E£316
per person",https://www.getyourguide.com/hurghada-l403/hurghada-semi-submarine-boat-tour-w-snorkeling-transfer-t585069/?ranking_uuid=3da7838c-97dd-4304-8d78-02446f06812e
Hurghada: Sindbad Submarines Red Sea Underwater Adventure,5,"From
E£3,944
From
E£3,550
per person",https://www.getyourguide.com/hurghada-l403/hurghada-sindbad-submarines-red-sea-underwater-adventure-t926200/?ranking_uuid=3da7838c-97dd-4304-8d78-02446f06812e
Hurghada: Panoramic Semi-Submarine Cruise with Snorkeling,4.5,"From
E£1,843
From
E£921
per person",https://www.getyourguide.com/hurghada-l403/panorama-semi-submarine-hurghada-t440820/?ranking_uuid=3da7838c-97dd-4304-8d78-02446f06812e
Safaga/Makadi Bay: Panorama Submarine with Snorkeling Tour,4.6,"From
E£1,843
From
E£921
per person",https://www.getyourguide.com/makadi-bay-l4675/panorama-semi-submarine-makadi-t441278/?ranking_uuid=3da7838c-97dd-4304-8d78-02446f06812e
Marsa Alam: Royal Seascope Submarine Cruise with Pickup,4.3,"From
E£2,633
From
E£2,422
per person",https://www.getyourguide.com/marsa-alam-l422/royal-seascope-submarine-marsa-alam-port-ghalib-t457975/?ranking_uuid=3da7838c-97dd-4304-8d78-02446f06812e
Hurghada: Paradise Island w/ Snorkeling & Opt Semi-Submarine,4.7,"From
E£1,843
From
E£921
per person",https://www.getyourguide.com/hurghada-l403/hurghada-paradise-island-w-opt-snorkeling-semi-submarine-t741084/?ranking_uuid=3da7838c-97dd-4304-8d78-02446f06812e
From Safaga: Royal Seascope Submarine with Snorkeling,4.6,"From
E£1,158
From
E£927
per person",https://www.getyourguide.com/port-safaga-l13566/royal-seascope-submarine-and-snorkelling-safaga-makadi-bay-t458170/?ranking_uuid=3da7838c-97dd-4304-8d78-02446f06812e
Sharm El-Sheikh: Royal Seascope Submarine Cruise with Pickup,3.9,"From
E£2,896
From
E£2,317
per person",https://www.getyourguide.com/sharm-el-sheikh-l408/royal-seascope-submarine-sharm-t457959/?ranking_uuid=3da7838c-97dd-4304-8d78-02446f06812e
Hurghada: Empire Submarine Boat Trip with Snorkel and Drinks,3.4,"From
E£1,086
From
E£814
per person",https://www.getyourguide.com/hurghada-l403/hurghada-empire-submarine-boat-trip-with-snorkel-and-drinks-t246912/?ranking_uuid=3da7838c-97dd-4304-8d78-02446f06812e
From El Gouna: Royal Seascope Submarine with Snorkel Stop,4,"From
E£1,053
From
E£895
per person",https://www.getyourguide.com/el-gouna-l1051/from-el-gouna-royal-seascope-submarine-with-snorkeling-t477803/?ranking_uuid=3da7838c-97dd-4304-8d78-02446f06812e
Conquest 2 Hour Semi Submarine with snorkeling from Hurghada,4.4,"From
E£421
From
E£316
per person",https://www.getyourguide.com/hurghada-l403/paradise-island-by-conquest-semi-submarine-snorkeling-tour-t465670/?ranking_uuid=3da7838c-97dd-4304-8d78-02446f06812e
Cairo: Ain Sokhna Semi-Submarine with optional Transfer,5,"From
E£1,896
From
E£1,516
per person",https://www.getyourguide.com/cairo-l92/cairo-ain-sokhna-submarine-with-optional-private-transfer-t466094/?ranking_uuid=3da7838c-97dd-4304-8d78-02446f06812e
Sharm El-Sheikh: Ras Mohammed & White Island Cruise,3.7,"From
E£1,315
From
E£657
per person",https://www.getyourguide.com/sharm-el-sheikh-l408/sharm-el-sheikh-ras-mohammed-white-island-cruise-t654715/?ranking_uuid=3da7838c-97dd-4304-8d78-02446f06812e
Dahab: Royal seascope Semi-Submarine Cruise,5,"From
E£1,843
From
E£1,751
per person",https://www.getyourguide.com/dahab-l884/dahab-royal-seascope-submarine-cruise-t463450/?ranking_uuid=3da7838c-97dd-4304-8d78-02446f06812e
Hurghada: Scenic Submarine Tour with Snorkeling and Transfer,3.7,"From
E£1,086
From
E£923
per person",https://www.getyourguide.com/hurghada-l403/hurghada-scenic-submarine-tour-with-snorkeling-and-transfer-t513680/?ranking_uuid=7780586b-9a56-4059-a210-ccf73f6da2e0
Makadi/Safaga: Private Semi-Submarine,5,"From
E£15,800
From
E£11,850
per group up to 14",https://www.getyourguide.com/red-sea-governorate-l607/makadisafaga-private-semi-submarine-t482215/?ranking_uuid=7780586b-9a56-4059-a210-ccf73f6da2e0
